               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.11405,             0.03229,            0.024358,           0.0033333,             0.33333,            0.036852,            0.022111,            0.082028,            0.038753,            0.021923,            0.070652,           0.0032609,           0.0032609
                   1,            0.091585,            0.022007,            0.022581,           0.0068376,             0.66667,            0.018069,           0.0050879,            0.066034,            0.043148,            0.022231,            0.040632,           0.0065744,           0.0065744
                   2,            0.078958,            0.021091,            0.022012,           0.0063498,             0.66667,            0.038338,           0.0038338,            0.062543,            0.041542,            0.021544,            0.010593,            0.009868,            0.009868
                   3,            0.070084,            0.021987,            0.021805,            0.010033,                   1,             0.17247,            0.068323,            0.066022,            0.036552,            0.020737,             0.00991,             0.00991,             0.00991
                   4,            0.062673,            0.021404,            0.021722,            0.010039,                   1,             0.14867,            0.081063,             0.05768,            0.039471,            0.020275,             0.00991,             0.00991,             0.00991
                   5,            0.057227,            0.020841,            0.021548,            0.061444,             0.66667,             0.46065,             0.24506,            0.046812,            0.040271,            0.020039,             0.00988,             0.00988,             0.00988
                   6,             0.05152,            0.021234,            0.021417,             0.21829,             0.52673,             0.50856,             0.26423,            0.038268,            0.039313,            0.020165,             0.00985,             0.00985,             0.00985
                   7,            0.050673,             0.01816,            0.021313,             0.13649,             0.66667,             0.45881,             0.30679,            0.036283,            0.038131,            0.019995,             0.00982,             0.00982,             0.00982
                   8,            0.049851,            0.016916,            0.021144,              0.1942,             0.66667,             0.51258,             0.35719,            0.035957,            0.035629,            0.019979,             0.00979,             0.00979,             0.00979
                   9,             0.04845,            0.017029,            0.021309,             0.55221,             0.33333,             0.51593,             0.30956,            0.033831,             0.03433,            0.019808,             0.00976,             0.00976,             0.00976
                  10,            0.046021,            0.015394,            0.021161,             0.49331,                   1,             0.82917,             0.35378,            0.040884,            0.026035,            0.020632,             0.00973,             0.00973,             0.00973
                  11,            0.045929,             0.01434,            0.021176,             0.47172,                   1,               0.995,             0.56383,            0.032053,            0.025727,            0.020435,              0.0097,              0.0097,              0.0097
                  12,            0.044827,            0.012992,             0.02087,             0.74621,             0.66667,             0.82917,             0.54725,            0.029044,            0.024767,            0.019979,             0.00967,             0.00967,             0.00967
                  13,            0.042999,            0.012241,            0.020812,             0.30559,             0.76997,             0.82917,             0.61358,            0.027597,             0.02383,            0.019869,             0.00964,             0.00964,             0.00964
                  14,            0.040093,            0.012093,            0.020717,             0.55336,             0.99397,             0.82917,             0.41458,            0.036068,            0.019048,            0.019446,             0.00961,             0.00961,             0.00961
                  15,            0.040593,             0.01137,            0.020579,             0.54477,                   1,               0.995,             0.76283,            0.026549,            0.018358,            0.019243,             0.00958,             0.00958,             0.00958
                  16,            0.040677,            0.011151,            0.020642,             0.58075,                   1,             0.82917,             0.48092,            0.031769,            0.017664,            0.019004,             0.00955,             0.00955,             0.00955
                  17,            0.040521,            0.011335,            0.020276,             0.61882,                   1,               0.995,              0.6965,            0.026275,            0.017869,             0.01866,             0.00952,             0.00952,             0.00952
                  18,            0.038889,            0.010153,            0.020396,               0.599,                   1,             0.82917,             0.67992,            0.027656,            0.018519,            0.018064,             0.00949,             0.00949,             0.00949
                  19,            0.039979,            0.010522,            0.019873,             0.62373,                   1,               0.995,             0.76283,            0.026777,            0.016543,            0.017573,             0.00946,             0.00946,             0.00946
                  20,            0.039739,            0.009642,            0.019664,             0.72278,                   1,               0.995,             0.72967,            0.027179,            0.016061,            0.017284,             0.00943,             0.00943,             0.00943
                  21,            0.039522,            0.010721,            0.019299,             0.61958,                   1,               0.995,             0.86233,            0.025185,            0.015928,            0.017021,              0.0094,              0.0094,              0.0094
                  22,            0.038986,           0.0093838,            0.018994,             0.55305,                   1,               0.995,             0.72967,            0.023601,            0.014964,            0.016482,             0.00937,             0.00937,             0.00937
                  23,            0.036812,           0.0097502,            0.018971,             0.72826,                   1,               0.995,             0.72967,            0.023461,            0.014321,            0.015886,             0.00934,             0.00934,             0.00934
                  24,            0.037399,           0.0092128,            0.017902,             0.70959,                   1,               0.995,             0.64343,            0.030032,            0.014595,             0.01479,             0.00931,             0.00931,             0.00931
                  25,            0.038185,           0.0096462,            0.017585,             0.77424,                   1,               0.995,             0.66333,            0.028974,            0.015668,            0.013824,             0.00928,             0.00928,             0.00928
                  26,            0.036635,           0.0093189,            0.016717,             0.83197,                   1,               0.995,             0.72967,            0.026919,            0.014625,            0.012975,             0.00925,             0.00925,             0.00925
                  27,            0.037019,           0.0097395,            0.016049,             0.73703,                   1,               0.995,              0.6965,            0.027558,            0.014916,             0.01217,             0.00922,             0.00922,             0.00922
                  28,            0.036276,           0.0082407,            0.015323,             0.75153,                   1,               0.995,             0.76283,            0.026615,             0.01439,            0.012476,             0.00919,             0.00919,             0.00919
                  29,            0.039839,           0.0095098,            0.015307,             0.78818,                   1,               0.995,             0.72967,            0.021318,            0.013624,            0.011257,             0.00916,             0.00916,             0.00916
                  30,            0.036315,           0.0091263,            0.014602,             0.81588,                   1,               0.995,             0.56383,            0.030631,            0.014198,            0.010193,             0.00913,             0.00913,             0.00913
                  31,            0.035907,           0.0086558,            0.013918,               0.723,                   1,               0.995,               0.796,            0.027924,            0.014547,           0.0099701,              0.0091,              0.0091,              0.0091
                  32,            0.035376,           0.0094529,            0.013239,             0.66111,                   1,               0.995,              0.8955,            0.019814,            0.014482,            0.010135,             0.00907,             0.00907,             0.00907
                  33,             0.03551,            0.008607,            0.012923,             0.87574,                   1,               0.995,             0.76283,            0.022571,            0.013692,           0.0083366,             0.00904,             0.00904,             0.00904
                  34,            0.036754,           0.0091348,            0.012074,             0.70611,                   1,               0.995,             0.63017,             0.02748,            0.012807,           0.0092079,             0.00901,             0.00901,             0.00901
                  35,            0.034598,           0.0081221,            0.011377,             0.84231,                   1,               0.995,              0.6965,            0.023663,            0.012664,           0.0069049,             0.00898,             0.00898,             0.00898
                  36,             0.03505,           0.0079603,            0.010724,             0.82099,                   1,               0.995,             0.72967,            0.020229,            0.012913,           0.0067782,             0.00895,             0.00895,             0.00895
                  37,            0.036464,           0.0082795,            0.010017,             0.66165,                   1,               0.995,             0.72967,            0.020213,            0.013398,           0.0091049,             0.00892,             0.00892,             0.00892
                  38,            0.033981,            0.008123,            0.010429,             0.78289,                   1,               0.995,             0.72967,            0.023272,            0.013809,            0.006703,             0.00889,             0.00889,             0.00889
                  39,            0.035453,           0.0086326,           0.0091445,             0.55499,                   1,               0.995,             0.86233,            0.024424,             0.01245,            0.015222,             0.00886,             0.00886,             0.00886
                  40,             0.03511,           0.0082695,           0.0093501,             0.70807,                   1,               0.995,             0.72967,            0.020588,            0.014038,           0.0097696,             0.00883,             0.00883,             0.00883
                  41,            0.035172,           0.0077246,           0.0083834,             0.89289,                   1,               0.995,             0.72967,            0.024311,            0.012464,           0.0042085,              0.0088,              0.0088,              0.0088
                  42,            0.034591,           0.0077246,           0.0078855,             0.80828,                   1,               0.995,              0.6965,             0.02068,            0.013532,           0.0064957,             0.00877,             0.00877,             0.00877
                  43,            0.033566,           0.0073827,           0.0077245,             0.90836,                   1,               0.995,             0.70479,            0.023911,            0.012882,           0.0036385,             0.00874,             0.00874,             0.00874
                  44,            0.033196,           0.0073657,           0.0064658,             0.88041,                   1,               0.995,             0.66333,            0.031209,             0.01304,           0.0041027,             0.00871,             0.00871,             0.00871
                  45,            0.031888,           0.0070897,           0.0070577,             0.90546,                   1,               0.995,               0.796,            0.017543,             0.01278,           0.0037762,             0.00868,             0.00868,             0.00868
                  46,            0.032212,           0.0075511,           0.0062766,              0.9127,                   1,               0.995,              0.6965,            0.028907,            0.011748,           0.0031081,             0.00865,             0.00865,             0.00865
                  47,            0.033655,           0.0077399,           0.0057606,             0.93919,                   1,               0.995,             0.72967,             0.02294,            0.011421,           0.0028582,             0.00862,             0.00862,             0.00862
                  48,            0.032679,           0.0073302,           0.0058498,             0.94825,                   1,               0.995,               0.796,            0.025351,            0.011211,           0.0020048,             0.00859,             0.00859,             0.00859
                  49,            0.034245,           0.0076508,           0.0055453,             0.94078,                   1,               0.995,             0.72967,            0.023994,            0.011648,            0.002269,             0.00856,             0.00856,             0.00856
                  50,            0.032626,           0.0077667,           0.0059728,             0.91756,                   1,               0.995,             0.76283,            0.023365,            0.011959,            0.002692,             0.00853,             0.00853,             0.00853
                  51,              0.0328,           0.0078035,            0.005859,             0.92173,                   1,               0.995,              0.8955,            0.020632,            0.011611,           0.0026065,              0.0085,              0.0085,              0.0085
                  52,            0.032087,           0.0074381,           0.0054808,             0.91991,                   1,               0.995,              0.6965,             0.02562,            0.011129,           0.0032118,             0.00847,             0.00847,             0.00847
                  53,            0.032126,           0.0072289,           0.0052907,             0.91563,                   1,               0.995,             0.82917,            0.024728,            0.011419,            0.002589,             0.00844,             0.00844,             0.00844
                  54,            0.030864,           0.0073911,           0.0047595,             0.88713,                   1,               0.995,             0.86233,            0.019079,            0.012664,            0.002485,             0.00841,             0.00841,             0.00841
                  55,            0.030797,           0.0077724,           0.0052207,             0.91191,                   1,               0.995,               0.796,            0.017294,            0.010924,           0.0023912,             0.00838,             0.00838,             0.00838
                  56,            0.031391,           0.0071714,           0.0046521,             0.91533,                   1,               0.995,              0.6965,            0.025491,            0.011541,           0.0020416,             0.00835,             0.00835,             0.00835
                  57,            0.031657,           0.0071885,           0.0047139,             0.91455,                   1,               0.995,               0.796,            0.018907,            0.011435,           0.0020266,             0.00832,             0.00832,             0.00832
                  58,            0.031614,           0.0070915,            0.004848,             0.90416,                   1,               0.995,             0.76283,            0.019602,            0.010773,             0.00173,             0.00829,             0.00829,             0.00829
                  59,            0.029853,           0.0072795,           0.0043754,             0.94867,                   1,               0.995,             0.82917,            0.018411,             0.01078,             0.00185,             0.00826,             0.00826,             0.00826
                  60,            0.030919,           0.0071051,           0.0049034,             0.92211,                   1,               0.995,               0.796,            0.018303,            0.011331,           0.0016739,             0.00823,             0.00823,             0.00823
                  61,            0.031989,           0.0070979,           0.0048099,             0.92145,                   1,               0.995,             0.86233,            0.017724,            0.010587,           0.0016141,              0.0082,              0.0082,              0.0082
                  62,            0.031311,           0.0073872,            0.004603,             0.93531,                   1,               0.995,             0.76283,            0.021989,            0.010714,           0.0018345,             0.00817,             0.00817,             0.00817
                  63,            0.030981,           0.0071211,           0.0041548,             0.92676,                   1,               0.995,             0.76283,            0.022632,            0.011296,           0.0015159,             0.00814,             0.00814,             0.00814
                  64,            0.031603,           0.0068786,           0.0037125,             0.91941,                   1,               0.995,               0.796,            0.019636,            0.011245,           0.0014329,             0.00811,             0.00811,             0.00811
                  65,            0.031019,           0.0067582,           0.0037781,             0.92371,                   1,               0.995,             0.76283,             0.02118,            0.010271,           0.0015122,             0.00808,             0.00808,             0.00808
                  66,            0.029748,           0.0067684,           0.0039994,             0.93353,                   1,               0.995,             0.86233,             0.01661,            0.010447,           0.0019861,             0.00805,             0.00805,             0.00805
                  67,            0.029403,           0.0073998,           0.0039679,             0.92569,                   1,               0.995,             0.72967,            0.022183,            0.010261,           0.0019236,             0.00802,             0.00802,             0.00802
                  68,            0.030195,           0.0071667,           0.0038375,             0.90641,                   1,               0.995,             0.76283,            0.020155,            0.010155,           0.0014897,             0.00799,             0.00799,             0.00799
                  69,            0.030627,           0.0069912,           0.0039551,             0.89865,                   1,               0.995,              0.8955,            0.015645,            0.010107,           0.0013536,             0.00796,             0.00796,             0.00796
                  70,            0.030486,           0.0074383,           0.0036401,             0.89539,                   1,               0.995,             0.86233,             0.01638,            0.010491,            0.001244,             0.00793,             0.00793,             0.00793
                  71,            0.029803,           0.0071045,           0.0034358,             0.84049,                   1,               0.995,             0.76283,             0.01866,             0.01291,           0.0015254,              0.0079,              0.0079,              0.0079
                  72,            0.029104,           0.0069082,           0.0036293,             0.89394,                   1,               0.995,             0.82917,            0.018127,            0.011057,           0.0014327,             0.00787,             0.00787,             0.00787
                  73,            0.029577,           0.0068328,           0.0035269,             0.93445,                   1,               0.995,             0.76283,            0.019976,           0.0096729,           0.0013774,             0.00784,             0.00784,             0.00784
                  74,            0.029046,           0.0068999,           0.0034673,             0.91258,                   1,               0.995,             0.82917,            0.016373,             0.01085,           0.0015324,             0.00781,             0.00781,             0.00781
                  75,            0.028664,           0.0069172,           0.0027765,             0.90293,                   1,               0.995,             0.76283,            0.018171,            0.010594,           0.0014715,             0.00778,             0.00778,             0.00778
                  76,              0.0286,           0.0068259,           0.0035634,             0.94619,                   1,               0.995,             0.82917,            0.017437,            0.010175,           0.0014378,             0.00775,             0.00775,             0.00775
                  77,            0.028342,           0.0068181,            0.003736,             0.94733,                   1,               0.995,              0.8955,            0.015265,             0.01002,           0.0012708,             0.00772,             0.00772,             0.00772
                  78,            0.028599,           0.0067033,           0.0032888,             0.85364,                   1,               0.995,             0.86233,            0.016919,            0.011908,           0.0011349,             0.00769,             0.00769,             0.00769
                  79,            0.028721,           0.0065563,           0.0029512,             0.94418,                   1,               0.995,             0.72967,            0.019046,            0.010114,           0.0011197,             0.00766,             0.00766,             0.00766
                  80,            0.028201,           0.0064663,           0.0031799,             0.96235,                   1,               0.995,             0.82917,            0.015967,           0.0098984,           0.0013125,             0.00763,             0.00763,             0.00763
                  81,            0.028883,           0.0065966,           0.0036148,             0.88903,                   1,               0.995,             0.86233,            0.016765,             0.01112,           0.0030343,              0.0076,              0.0076,              0.0076
                  82,            0.027192,           0.0064283,           0.0035955,             0.82683,                   1,               0.995,             0.82917,            0.016207,            0.011057,           0.0034902,             0.00757,             0.00757,             0.00757
                  83,            0.028249,           0.0069264,           0.0038341,             0.92407,                   1,               0.995,             0.86233,            0.018543,            0.011178,           0.0013769,             0.00754,             0.00754,             0.00754
                  84,            0.027533,           0.0068465,           0.0035456,             0.79366,                   1,               0.995,             0.82917,            0.015045,            0.013969,           0.0023191,             0.00751,             0.00751,             0.00751
                  85,            0.028567,           0.0072735,           0.0030158,              0.7928,                   1,               0.995,             0.86233,            0.016843,            0.014396,           0.0012239,             0.00748,             0.00748,             0.00748
                  86,            0.027259,           0.0066735,            0.002979,             0.92958,                   1,               0.995,              0.8955,            0.015931,            0.010661,           0.0014246,             0.00745,             0.00745,             0.00745
                  87,             0.02727,           0.0067673,           0.0037335,             0.93045,                   1,               0.995,             0.86233,            0.014776,            0.010411,             0.00126,             0.00742,             0.00742,             0.00742
                  88,            0.027709,           0.0070611,           0.0038128,             0.93834,                   1,               0.995,              0.8955,            0.016197,           0.0098506,           0.0012174,             0.00739,             0.00739,             0.00739
                  89,            0.027907,           0.0064233,           0.0027556,             0.94877,                   1,               0.995,             0.86233,            0.014572,           0.0093054,           0.0012435,             0.00736,             0.00736,             0.00736
                  90,             0.02743,           0.0066103,           0.0029873,             0.92247,                   1,               0.995,             0.82917,            0.018984,            0.010615,            0.001272,             0.00733,             0.00733,             0.00733
                  91,            0.026201,           0.0064846,           0.0027071,             0.96447,                   1,               0.995,             0.82917,            0.016543,           0.0088748,           0.0010164,              0.0073,              0.0073,              0.0073
                  92,            0.027824,           0.0066058,           0.0030313,             0.95725,                   1,               0.995,             0.86233,            0.016946,           0.0095618,          0.00093864,             0.00727,             0.00727,             0.00727
                  93,            0.028474,           0.0066177,           0.0031496,              0.9363,                   1,               0.995,             0.82917,              0.0162,           0.0087825,          0.00099495,             0.00724,             0.00724,             0.00724
                  94,            0.025776,           0.0062512,           0.0026321,             0.95826,                   1,               0.995,             0.76283,            0.017164,           0.0090918,           0.0010106,             0.00721,             0.00721,             0.00721
                  95,            0.026146,           0.0064106,           0.0034497,             0.94474,                   1,               0.995,             0.82917,            0.016057,            0.010155,          0.00092766,             0.00718,             0.00718,             0.00718
                  96,            0.027188,           0.0061871,           0.0036011,             0.93537,                   1,               0.995,               0.796,            0.015164,           0.0091174,           0.0010808,             0.00715,             0.00715,             0.00715
                  97,            0.027688,           0.0065269,           0.0032779,             0.94698,                   1,               0.995,             0.82917,            0.016314,           0.0089875,           0.0011958,             0.00712,             0.00712,             0.00712
                  98,            0.027226,           0.0068692,           0.0034301,             0.94038,                   1,               0.995,             0.82917,            0.016099,           0.0088235,           0.0010068,             0.00709,             0.00709,             0.00709
                  99,            0.026856,           0.0063077,           0.0027102,             0.89783,                   1,               0.995,             0.86233,            0.018224,            0.011732,          0.00088182,             0.00706,             0.00706,             0.00706
                 100,            0.027211,           0.0065945,           0.0034144,              0.8314,                   1,               0.995,             0.82917,            0.017096,            0.013221,             0.00133,             0.00703,             0.00703,             0.00703
                 101,            0.027047,           0.0063848,           0.0029849,             0.92994,                   1,               0.995,             0.82917,            0.017284,           0.0097139,          0.00093092,               0.007,               0.007,               0.007
                 102,            0.026179,           0.0063779,           0.0029187,             0.92965,                   1,               0.995,             0.86233,            0.016298,           0.0097771,          0.00096465,             0.00697,             0.00697,             0.00697
                 103,            0.026432,           0.0064153,           0.0029334,             0.93695,                   1,               0.995,              0.8955,             0.01317,           0.0099856,          0.00097761,             0.00694,             0.00694,             0.00694
                 104,            0.027207,              0.0068,           0.0026261,             0.94039,                   1,               0.995,             0.82917,            0.016915,            0.010539,          0.00089032,             0.00691,             0.00691,             0.00691
