               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.13371,            0.018128,            0.017852,                   0,                   0,                   0,                   0,             0.11638,            0.016751,            0.020973,               0.091,               0.001,               0.001
                   1,             0.11538,             0.01593,            0.016442,                   0,                   0,                   0,                   0,            0.094738,            0.016281,            0.019871,            0.081094,           0.0020937,           0.0020937
                   2,             0.10921,             0.01517,            0.016663,           0.0076923,                   1,             0.04975,            0.004975,             0.10017,            0.012823,            0.016765,            0.071181,           0.0031808,           0.0031808
                   3,             0.10472,            0.015337,            0.016373,                   0,                   0,                   0,                   0,            0.093267,            0.013779,            0.016857,            0.061261,           0.0042613,           0.0042613
                   4,            0.089582,            0.014231,            0.014943,                   0,                   0,                   0,                   0,            0.088139,            0.014975,            0.015729,            0.051335,           0.0053352,           0.0053352
                   5,            0.086239,            0.015483,             0.01534,                   0,                   0,                   0,                   0,            0.078588,            0.014521,            0.015516,            0.041403,           0.0064025,           0.0064025
                   6,            0.076737,            0.014259,            0.015122,           0.0071429,                   1,               0.995,             0.10261,            0.064781,            0.015114,            0.015828,            0.031463,           0.0074632,           0.0074632
                   7,            0.074679,            0.015993,            0.015486,           0.0075188,                   1,             0.16583,             0.04975,            0.064776,            0.014494,            0.015879,            0.021517,           0.0085173,           0.0085173
                   8,            0.071416,            0.015215,            0.015434,            0.006993,                   1,             0.04975,            0.014925,            0.057577,            0.015584,            0.016296,            0.011565,           0.0095648,           0.0095648
                   9,            0.068614,            0.015104,             0.01525,           0.0064103,                   1,              0.4975,             0.10394,            0.065664,            0.014903,            0.013781,             0.00973,             0.00973,             0.00973
                  10,             0.07026,            0.014886,            0.015548,             0.00625,                   1,            0.058529,            0.020212,            0.073425,            0.013357,            0.012916,             0.00973,             0.00973,             0.00973
                  11,             0.05984,            0.015808,            0.015478,           0.0062893,                   1,             0.24875,             0.12437,            0.060761,            0.014417,            0.013048,              0.0097,              0.0097,              0.0097
